Unnamed: 0.1,Unnamed: 0,title,artist,count,year,id
65,65,Beautiful As You,Thomas Rhett,19,2024,2ObBVRY8a2lnAkNG62u9eC
66,66,360,Charli XCX,19,2024,4w2GLmK2wnioVnb5CPQeex
67,67,High Road,Koe Wetzel & Jessie Murph,19,2024,1FhgmMvNlh3nJ1Ldc2eE6H
68,68,Mmhmm,BigXthaPlug,19,2024,4QTlxavdQGUVitxAvQqqkU
69,69,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024,n/a
70,70,Please Please Please,Sabrina Carpenter,19,2024,5N3hjp1WNayUPZrA8kJmJP
71,71,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024,7CyPwkp0oE8Ro9Dd5CUDjW
72,72,La Diabla,Xavi,19,2024,0R6NfOiLzLj4O5VbYSJAjf
73,73,Nights Like This,Future & Metro Boomin,18,2024,6c0rii1TOf2fvq3hhqqExW
74,74,Pink Pony Club,Chappell Roan,18,2024,1k2pQc5i348DCHwbn5KTdc
75,75,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024,5ZJGv7aGdIr9IGpxzSG18T
76,76,Fast Car,Luke Combs,18,2024,1Lo0QY9cvc8sUB2vnIOxDT
77,77,Illusion,Dua Lipa,18,2024,5q0EXnBYyeCdXD72FzJxH0
78,78,We Ride,Bryan Martin,18,2024,72kGuWpRiuA149Bn5lDkIO
79,79,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024,7hRLuo4QnzCsjICXUOhTE6
80,80,Bandit,Don Toliver,18,2024,0PHrcmOtDE89ew4vVEaD7S
81,81,I Am Not Okay,Jelly Roll,18,2024,3SaS0Va6o6jYkWvadT86C6
82,82,FTCU,Nicki Minaj,18,2024,1a73gcEg6h6Re6hHXoVltJ
83,83,Si Antes Te Hubiera Conocido,Karol G,17,2024,6WatFBLVB0x077xWeoVc2k
84,84,TGIF,GloRilla,17,2024,2hKYtHbwYOSjvYQhVdUpdQ
85,85,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024,7FKAVg9SA7QYLxdVRLnKjd
86,86,Paint The Town Red,Doja Cat,17,2024,2IGMVunIBsBLtEQyoI1Mu7
87,87,BAND4BAND,Central Cee & Lil Baby,17,2024,7iabz12vAuVQYyekFIWJxD
88,88,Kehlani,Jordan Adetunji,17,2024,2hrycoFU1mZw6YPvMcn8yC
89,89,Water,Tyla,17,2024,5aIVCx5tnk0ntmdiinnYvw
90,90,U My Everything,Sexyy Red & Drake,17,2024,1TgStpMGTflN84asKJ8VU3
91,91,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024,0y5Ex8oQ8zCH5TQxHUy1Eo
92,92,Where The Wild Things Are,Luke Combs,17,2024,0eBFgRxyVSeuT4iyrbukdn
93,93,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024,0mNzElhEofvgMWAJoOA4q9
94,94,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024,73zawW1ttszLRgT9By826D
95,95,Euphoria,Kendrick Lamar,16,2024,77DRzu7ERs0TX3roZcre7Q
96,96,Snooze,SZA,16,2024,4iZ4pt7kvcaH6Yo8UoZ4s2
97,97,Burn It Down,Parker McCollum,16,2024,09hVlIVHtEE1nLUv6YGZiW
98,98,Casual,Chappell Roan,16,2024,3WSOUb3U7tqURbBSgZTrZX
99,99,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024,5b3XJ1pjrHO5JtY2PcTjnI
100,0,Snooze,SZA,52,2023,4iZ4pt7kvcaH6Yo8UoZ4s2
101,1,Kill Bill,SZA,48,2023,1Qrg8KqiBpW07V7PNxwwwL
102,2,Last Night,Morgan Wallen,47,2023,7K3BhSpAxZBznislvUMVtn
103,3,Flowers,Miley Cyrus,45,2023,7DSAEUvxU8FajXtRloy8M0
104,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,2023,2dHHgzDwk4BJdRwy9uXhTO
105,5,Anti-Hero,Taylor Swift,44,2023,0V3wPSX9ygBnCm8psDIegu
106,6,Everything I Love,Morgan Wallen,42,2023,03fs6oV5JAlbytRYf3371S
107,7,Thinkin' Bout Me,Morgan Wallen,42,2023,0PAcdVzhPO4gq1Iym9ESnK
108,8,Calm Down,Rema & Selena Gomez,41,2023,0WtM2NBVQNNJLh6scP13H8
109,9,Fast Car,Luke Combs,39,2023,1Lo0QY9cvc8sUB2vnIOxDT
110,10,Need A Favor,Jelly Roll,37,2023,07on0OB2cdPt79IFsgdRUy
111,11,Daylight,David Kushner,34,2023,1odExI7RdWc4BT515LTAwj
112,12,Love You Anyway,Luke Combs,33,2023,2kYevr8cbIAH2ha8210Bnz
113,13,Thought You Should Know,Morgan Wallen,32,2023,3Qu3Zh4WTKhP9GEXo0aDnb
114,14,I'm Good (Blue),David Guetta & Bebe Rexha,31,2023,4uUG5RXrOk84mYEfFvj3cK
115,15,Next Thing You Know,Jordan Davis,31,2023,39OclE5hZematADrdfaWvE
116,16,Something In The Orange,Zach Bryan,31,2023,3WMj8moIAXJhHsyLaqIIHI
117,17,Cruel Summer,Taylor Swift,31,2023,1BxfuPKGuaTgP7aM0Bbdwr
118,18,Die For You,The Weeknd,31,2023,2LBqCSwhJGcFQeTHMVGwy3
119,19,You Proof,Morgan Wallen,30,2023,5W4kiM2cUYBJXKRudNyxjW
120,20,Thank God,Kane Brown With Katelyn Brown,30,2023,1brnLTvarI9D1hLP6z2Ar8
121,21,Sure Thing,Miguel,29,2023,0JXXNGljqupsJaZsgSbMZV
122,22,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023,73RbfOTJIjHzi2pcVHjeHM
123,23,Favorite Song,Toosii,27,2023,5Bvhk3wx42kkDEggSQIwqL
124,24,Truck Bed,HARDY,27,2023,6CThut6kPrjot0pTJOTEer
125,25,One Thing At A Time,Morgan Wallen,27,2023,1rXq0uoV4KTgRN64jXzIxo
126,26,Under The Influence,Chris Brown,26,2023,5IgjP7X4th6nMNDh4akUHb
127,27,Players,Coi Leray,26,2023,6UN73IYd0hZxLi8wFPMQij
128,28,Dance The Night,Dua Lipa,26,2023,1vYXt7VSjH9JIM5oRRo7vA
129,29,Fukumean,Gunna,26,2023,4rXLjWdF2ZZpXCVTfWcshS
130,30,Rock And A Hard Place,Bailey Zimmerman,26,2023,1TE8AAk9koG0UJco6ZAUfx
131,31,Religiously,Bailey Zimmerman,25,2023,0bILU0UiNDmA5Ff6whhb2R
132,32,Cupid,Fifty Fifty,25,2023,4gXHG9domIKO6FIViDISA4
133,33,Save Me,Jelly Roll With Lainey Wilson,25,2023,30LZU3ReFIndjHLfaahreM
134,34,Tennessee Orange,Megan Moroney,25,2023,6DLbBlGIOjjEj0dNN25zhZ
135,35,Karma,Taylor Swift,24,2023,7KokYm8cMIXCsGVmUvKtqf
136,36,All My Life,Lil Durk Featuring J. Cole,24,2023,6HgWWaMu31KdOpEG5l28BG
137,37,Vampire,Olivia Rodrigo,23,2023,1kuGVB7EU95pJObxwvfwKS
138,38,Dancin' In The Country,Tyler Hubbard,23,2023,2KtGiBi5CrX2ERPD2PAS34
139,39,What Was I Made For?,Billie Eilish,23,2023,6wf7Yu7cxBSPrRlWeSeK0Q
140,40,Dial Drunk,Noah Kahan,23,2023,22VHOlVYBqytsrAqV8yXBK
141,41,La Bebe,Yng Lvcas x Peso Pluma,23,2023,2UW7JaomAMuX9pZrjVpHAU
142,42,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023,3dnP0JxCgygwQH9Gm7q7nb
143,43,As It Was,Harry Styles,23,2023,4Dvkj6JhhA12EX05fT7y2e
144,44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023,6AQbmUe0Qwf5PZnt4HmTXv
145,45,Just Wanna Rock,Lil Uzi Vert,22,2023,4Ls53fBNVfaXTROBi6X8Hw
146,46,White Horse,Chris Stapleton,22,2023,1DgtQlVNotingln271ZKCx
147,47,Unholy,Sam Smith & Kim Petras,22,2023,3nqQXoyQOWXiESFLlDF1hG
148,48,Spin Bout U,Drake & 21 Savage,22,2023,2ZL7WZcjuYKi1KUDtp4kCC
149,49,Rich Flex,Drake & 21 Savage,21,2023,1bDbXMyjaUIooNwFE9wn0N
150,50,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023,0vjeOZ3Ft5jvAi9SBFJm1j
151,51,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023,741UUVE2kuITl0c6zuqqbO
152,52,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023,5HR7yfhSCeoOHRQN05XnZQ
153,53,LaLa,Myke Towers,20,2023,7ABLbnD53cQK00mhcaOUVG
154,54,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023,7mXuWTczZNxG5EDcjFEuJR
155,55,Fight The Feeling,Rod Wave,20,2023,4aA7Lrm6rLGHx5kRMVb7NU
156,56,I Know ?,Travis Scott,20,2023,6wsqVwoiVH2kde4k4KKAFU
157,57,Lavender Haze,Taylor Swift,20,2023,5jQI2r1RdgtuT8S3iG8zFC
158,58,Escapism,RAYE Featuring 070 Shake,20,2023,5mHdCZtVyb4DcJw8799hZp
159,59,Memory Lane,Old Dominion,20,2023,1nrgBXtczBXNSlqIezjwbR
160,60,Eyes Closed,Ed Sheeran,20,2023,3p7XQpdt8Dr6oMXSvRZ9bg
161,61,Search & Rescue,Drake,20,2023,7aRCf5cLOFN1U7kvtChY1G
162,62,ICU,Coco Jones,20,2023,3tpI98Yae25hSvhh6mitA9
163,63,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023,42TtHTxWk782ZBiqyOi2d1
164,64,PRC,Peso Pluma X Natanael Cano,20,2023,2mpoNBkngUEwnaKoBhZ0vl
165,65,Paint The Town Red,Doja Cat,20,2023,2IGMVunIBsBLtEQyoI1Mu7
166,66,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023,7fveJ3pk1eSfxBdVkzdXZ0
167,67,Por Las Noches,Peso Pluma,20,2023,6YWME4xCa5Lm6X1exVMQIC
168,68,Princess Diana,Ice Spice & Nicki Minaj,20,2023,0ZxhtATQ0a6EvQNZ0z6NKV
169,69,Chemical,Post Malone,20,2023,5w40ZYhbBMAlHYNDaVJIUu
170,70,Peaches & Eggplants,Young Nudy Featuring 21 Savage,20,2023,4iJyoBOLtHqaGxP12qzhQI
171,71,See You Again,"Tyler, The Creator Featuring Kali Uchis",20,2023,7KA4W4McWYRpgf0fWsJZWB
172,72,TQG,Karol G x Shakira,20,2023,0DWdj2oZMBFSzRsi2Cvfzf
173,73,Try That In A Small Town,Jason Aldean,20,2023,5BqI4ugJL5WaPRQ6MlC8Ho
174,74,Un x100to,Grupo Frontera X Bad Bunny,20,2023,2yzshFeBIwH8tWIqHEFLeD
175,75,Handle On You,Parker McCollum,20,2023,4reXo2zg1uhEIpUAacDb9C
176,76,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,2023,0FxtC8uFapbpDBliAU3sd6
177,77,Where She Goes,Bad Bunny,20,2023,7ro0hRteUMfnOioTFI5TG1
178,78,Ain't That Some,Morgan Wallen,20,2023,2YVlDlk2zRceefo6XlC6DX
179,79,Watermelon Moonshine,Lainey Wilson,20,2023,3sYBFUXTv0STUoUINx9Qe8
180,80,Wild As Her,Corey Kent,20,2023,3kXH9BQq0TyNliiP1MIE6N
181,81,Bebe Dame,Fuerza Regida X Grupo Frontera,20,2023,0IKeDy5bT9G0bA7ZixRT4A
182,82,Good Good,"Usher, Summer Walker & 21 Savage",19,2023,0J1YRLYhTG1MBosjidD7OI
183,83,Nonsense,Sabrina Carpenter,19,2023,6dgUya35uo964z7GZXM07g
184,84,Bury Me In Georgia,Kane Brown,19,2023,4EKH0ajMHXTkq4ztWuztVH
185,85,I Wrote The Book,Morgan Wallen,19,2023,7phmBo7bB9I9YifAXqnlqV
186,86,Qlona,Karol G & Peso Pluma,19,2023,5RqSsdzTNPX1uzkmlHCFvK
187,87,Popular,"The Weeknd, Playboi Carti & Madonna",19,2023,6WzRpISELf3YglGAh7TXcG
188,88,Human,Cody Johnson,19,2023,5AihIu9yF3flkw1jFMyfwW
189,89,Lose Control,Teddy Swims,19,2023,17phhZDn6oGtzMe56NuWvj
190,90,Meltdown,Travis Scott Featuring Drake,19,2023,67nepsnrcZkowTxMWigSbb
191,91,Bloody Mary,Lady Gaga,18,2023,11BKm0j4eYoCPPpCONAVwA
192,92,Wait In The Truck,HARDY Featuring Lainey Wilson,18,2023,6fDlK6P4s3BVMls9EmfCWI
193,93,Area Codes,Kali,18,2023,7sliFe6W30tPBPh6dvZsIH
194,94,Heart Like A Truck,Lainey Wilson,17,2023,5DIBVDJOHh7djepAjKHWCO
195,95,Trance,"Metro Boomin, Travis Scott & Young Thug",17,2023,5wG3HvLhF6Y5KTGlK0IW3J
196,96,Bad Idea Right?,Olivia Rodrigo,17,2023,3IX0yuEVvDbnqUwMBB3ouC
197,97,Hey Driver,Zach Bryan Featuring The War And Treaty,17,2023,4pCbJC43j3gSqG6Fen6upD
198,98,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,17,2023,4KULAymBBJcPRpk1yO4dOG
199,99,Used To Be Young,Miley Cyrus,17,2023,41WQUSINanQHfhfKpFDsms
200,0,Big Energy,Latto,43,2022,6Zu3aw7FfjAF9WA0fA81Oq
201,1,Heat Waves,Glass Animals,43,2022,3USxtqRwSYz57Ewm6wWRMp
202,2,Stay,The Kid LAROI & Justin Bieber,40,2022,567e29TDzLwZwfDuEpGTwo
203,3,Ghost,Justin Bieber,40,2022,6I3mqTwhRpn34SLVafSH7G
204,4,Shivers,Ed Sheeran,38,2022,50nfwKoDiSYg8zOCREWAm5
205,5,As It Was,Harry Styles,38,2022,4Dvkj6JhhA12EX05fT7y2e
206,6,Wasted On You,Morgan Wallen,37,2022,3cBsEDNhFI9E82vPj3kvi3
207,7,Cold Heart (PNAU Remix),Elton John & Dua Lipa,37,2022,7rglLriMNBPAyuJOMGwi39
208,8,Super Gremlin,Kodak Black,36,2022,1Y5Jvi3eLi4Chwqch9GMem
209,9,Something In The Orange,Zach Bryan,35,2022,3WMj8moIAXJhHsyLaqIIHI
210,10,About Damn Time,Lizzo,33,2022,6HMtHNpW6YPi1hrw9tgF8P
211,11,Fall In Love,Bailey Zimmerman,32,2022,0rCFRyEy4WXjRXNpO80Dzs
212,12,Numb Little Bug,Em Beihold,32,2022,1KQc37jezhunxnOPhvdwSG
213,13,Enemy,Imagine Dragons X JID,32,2022,3CIyK1V4JEJkg02E4EJnDl
214,14,Wait For U,Future Featuring Drake & Tems,32,2022,59nOXPmaKlBfGMDeOVGrIK
215,15,Woman,Doja Cat,32,2022,6Uj1ctrBOjOas8xZXGqKk4
216,16,You Proof,Morgan Wallen,32,2022,5W4kiM2cUYBJXKRudNyxjW
217,17,Thats What I Want,Lil Nas X,32,2022,0e8nrvls4Qqv5Rfa2UhqmO
218,18,Bad Habits,Ed Sheeran,31,2022,3rmo8F54jFF8OgYsqTxm5d
219,19,She Likes It,Russell Dickerson & Jake Scott,30,2022,4uJDDG8vXJ6fZHtTfrPfMX
220,20,Titi Me Pregunto,Bad Bunny,30,2022,1IHWl5LamUGEuP4ozKQSXZ
221,21,Rock And A Hard Place,Bailey Zimmerman,28,2022,1TE8AAk9koG0UJco6ZAUfx
222,22,In A Minute,Lil Baby,28,2022,31lopd32BkJBTSgYE16c5e
223,23,First Class,Jack Harlow,28,2022,0wHFktze2PHC5jDt3B17DC
224,24,She Had Me At Heads Carolina,Cole Swindell,27,2022,200x8ONbPfFzByUr3fVz46
225,25,I Like You (A Happier Song),Post Malone Featuring Doja Cat,27,2022,0O6u0VJ46W86TxN9wgyqDj
226,26,Whiskey On You,Nate Smith,27,2022,0unNLQbn2xlm2nPcB1pdjS
227,27,Sunroof,Nicky Youre & dazy,27,2022,5YqEzk3C5c3UZ1D5fJUlXA
228,28,Flower Shops,ERNEST Featuring Morgan Wallen,26,2022,1DbZAffh8GGwW41Q3AU8iC
229,29,Me Porto Bonito,Bad Bunny & Chencho Corleone,26,2022,6Sq7ltF9Qa7SNFBsV5Cogx
230,30,'Til You Can't,Cody Johnson,26,2022,4k3lPl8YTKuY8c1HelVnm3
231,31,Vegas,Doja Cat,26,2022,0hquQWY3xvYqN4qtiquniF
232,32,Son Of A Sinner,Jelly Roll,25,2022,6ngGiVX91DRmGDH4G5EgeO
233,33,Circles Around This Town,Maren Morris,25,2022,13G5xv1wUKvJYbK0wYmioN
234,34,Until I Found You,Stephen Sanchez,25,2022,6VhuP99TE6gYNQRJIlAWFD
235,35,Bad Habit,Steve Lacy,25,2022,4k6Uh1HXdhtusDW5y8Gbvy
236,36,I Ain't Worried,OneRepublic,25,2022,0oF9jpn0n8afMpbHKgRd6J
237,37,Get Into It (Yuh),Doja Cat,24,2022,0W6I02J9xcqK8MtSeosEXb
238,38,Late Night Talking,Harry Styles,24,2022,1qEmFfgcLObUfQm0j1W2CK
239,39,AA,Walker Hayes,24,2022,6aIrXGmaFqPafbYgxbMUsj
240,40,Boyfriend,Dove Cameron,24,2022,59CfNbkERJ3NoTXDvoURjj
241,41,Jimmy Cooks,Drake Featuring 21 Savage,24,2022,3F5CgOj3wFlRv51JsHbxhe
242,42,The Kind Of Love We Make,Luke Combs,23,2022,48UKTR66uUOT9LaUvooTNx
243,43,Moscow Mule,Bad Bunny,23,2022,6Xom58OOXk2SoU711L2IXO
244,44,5 Foot 9,Tyler Hubbard,22,2022,0U4iRayct65wsaBMQGiLbg
245,45,Efecto,Bad Bunny,22,2022,5Eax0qFko2dh7Rl2lYs3bx
246,46,Free Mind,Tems,21,2022,2mzM4Y0Rnx2BDZqRnhQ5Q6
247,47,Provenza,Karol G,21,2022,3HqcNJdZ2seoGxhn0wVNDK
248,48,Party,Bad Bunny & Rauw Alejandro,21,2022,4tYFy8ALRjIZvnvSLw5lxN
249,49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,21,2022,3JXF3LsUjyDIHjuwhXxdjo
250,50,Easy On Me,Adele,21,2022,46IZ0fSY2mpAiktS3KOqds
251,51,Doin' This,Luke Combs,21,2022,6TpyujRefwsflWFXbmjVpj
252,52,Die For You,The Weeknd,21,2022,2LBqCSwhJGcFQeTHMVGwy3
253,53,One Right Now,Post Malone & The Weeknd,21,2022,00Blm7zeNqgYLPtW6zg8cj
254,54,Need To Know,Doja Cat,21,2022,3Vi5XqYrmQgOYBajMWSvCi
255,55,Industry Baby,Lil Nas X & Jack Harlow,21,2022,27NovPIUIRrOZoCHxABJwK
256,56,abcdefu,GAYLE,21,2022,4fouWK6XVHhzl78KzQ1UjL
257,57,Glimpse Of Us,Joji,20,2022,6xGruZOHLs39ZbVccQTuPZ
258,58,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",20,2022,52xJxFP6TqMuO4Yt0eOkMz
259,59,Hrs And Hrs,Muni Long,20,2022,n/a
260,60,Hotel Lobby (Unc And Phew),Quavo & Takeoff,20,2022,4vVjPTApwXZwB2H3mBq3ml
261,61,Bones,Imagine Dragons,20,2022,54ipXppHLA8U4yqpOFTUhr
262,62,Bam Bam,Camila Cabello Featuring Ed Sheeran,20,2022,2DB4DdfCFMw1iaR6JaR03a
263,63,To The Moon!,JNR CHOI & Sam Tompkins,20,2022,5vUnjhBzRJJIAOJPde6zDx
264,64,Like I Love Country Music,Kane Brown,20,2022,5C9jQ8ikTOieveuORd8wlf
265,65,All Mine,Brent Faiyaz,20,2022,3XgGQ1wjo5khvq2UImjyNF
266,66,23,Sam Hunt,20,2022,4PuAqZlL1tkidkuxfDlLbF
267,67,MAMIII,Becky G X Karol G,20,2022,7FlQk2gJ6TBrHHiidvdR2O
268,68,What Happened To Virgil,Lil Durk Featuring Gunna,20,2022,7ohROa13QK43JBRqfCmz4P
269,69,Broadway Girls,Lil Durk Featuring Morgan Wallen,20,2022,7qTaDOcld0VmBWXnkbUj45
270,70,Thought You Should Know,Morgan Wallen,20,2022,3Qu3Zh4WTKhP9GEXo0aDnb
271,71,She's All I Wanna Be,Tate McRae,20,2022,7l9IqDtVWJurTvkQHq1BGh
272,72,Wishful Drinking,Ingrid Andress With Sam Hunt,20,2022,3HGnIIdHYIbkowzLk8UHbE
273,73,F.N.F. (Let's Go),Hitkidd & Glorilla,20,2022,5nEUEJWFtBFdjVGeFyIOL0
274,74,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,20,2022,5mt882Eqx22RwFOTE01jS8
275,75,Tarot,Bad Bunny & Jhay Cortez,20,2022,41oY4WCTj5kccfesTVFnvN
276,76,Good 4 U,Olivia Rodrigo,20,2022,4ZtFanR9U6ndgddUvNcjcG
277,77,Running Up That Hill (A Deal With God),Kate Bush,20,2022,1PtQJZVZIdWIYdARpZRDFO
278,78,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,20,2022,7yRJMLG9ja0fBVVEmV6vcT
279,79,Trouble With A Heartbreak,Jason Aldean,20,2022,0P9c1rdCeGAkCeS425KbI5
280,80,If I Was A Cowboy,Miranda Lambert,20,2022,6F7UOC6fPWOkPqybOWBHSv
281,81,Beers On Me,"Dierks Bentley, Breland & HARDY",20,2022,19ZzEzb4BVK1wVO4brrmZz
282,82,Despues de La Playa,Bad Bunny,20,2022,1dm6z1fWB0cErMszU25dy2
283,83,Pushin P,Gunna & Future Featuring Young Thug,20,2022,3XOalgusokruzA5ZBA2Qcb
